OFFER,RETAILER_mapped,BRAND,PRODUCT_CATEGORY
"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,Frozen Turkey,
"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,Nut Butters & Jam,
Order from Casey's app or Caseys.com,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Order from Casey's app or Caseys.com,CASEYS GENERAL STORE,Cooking & Baking,
"Tru-Ray® Premium Construction Paper, spend $10",,,
"Flonase Allergy Relief, at Walmart",WALMART,Medicines & Treatments,
Spend $25 at KFC,KFC,,
"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,Jerky & Dried Meat,
"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,Frozen Seafood,
"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,Frozen Meals,
"CESAR® Wet Dog Food, spend $20",,Dog Supplies,
"CESAR® Wet Dog Food, spend $20",,Frozen Chicken,
"CESAR® Wet Dog Food, spend $20",,Sauces & Marinades,
"CESAR® Wet Dog Food, spend $20",,Cooking & Baking,
"TWIX®, select sizes",,Candy,Gum
"TWIX®, select sizes",,Cookies,
"M&M'S® chocolate candies, select varieties",,Candy,Gum
"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,Cooking & Baking,
"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,Dips & Salsa,
"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,Sauces & Marinades,
Spend $210 at Randalls,RANDALLS,,
Spend $210 at Randalls,RANDALLS FOOD MARKETS,,
"Cooked Perfect® Meatballs, at Walmart",WALMART,Frozen Chicken,
Spend $25 at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Spend $25 at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",AMAZON,Nuts & Seeds,
"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",AMAZON,Medicines & Treatments,
"Creativity Street®, spend $10",,,
"Crunchmaster® Crackers, spend $4",,Candy,Gum
"Crunchmaster® Crackers, spend $4",,Crackers,
"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,Frozen Beef,
"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,Packaged Meat,
"L'Oréal Paris Makeup, spend $35 at Target",TARGET,Makeup,
Spend $25 at Subway,SUBWAY,Cooking & Baking,
Any Vons receipt,VONS,Spirits,Vodka
Any Vons receipt,VONS,Spirits,Rum
"Chosen Foods® Mayo, select varieties",,Cooking & Baking,
"Chosen Foods® Mayo, select varieties",,Dips & Salsa,
"Chosen Foods® Mayo, select varieties",,Condiments,
"Chosen Foods® Mayo, select varieties",,Dressings,
"L'Oréal Paris Men Expert hair color, spend $19 at Walmart",WALMART,Hair Care,
Spend $185 at Shaws,SHAWS,Cooking & Baking,
Spend $150 at Vons,VONS,Spirits,Vodka
Spend $150 at Vons,VONS,Spirits,Rum
"Wine from TheBarrelRoom.com, spend $30",GALLO.COM,Wine,
"General Mills™ products, select brands, spend $35",,Packaged Vegetables,
"General Mills™ products, select brands, spend $35",,Refrigerated Doughs,
"General Mills™ products, select brands, spend $35",,Frozen Pizza & Pizza Snacks,
"General Mills™ products, select brands, spend $35",,Bread,
"General Mills™ products, select brands, spend $35",,Frozen Breakfast,
"General Mills™ products, select brands, spend $35",,Chips,
"General Mills™ products, select brands, spend $35",,Cookies,
"General Mills™ products, select brands, spend $35",,"Cereal, Granola, & Toaster Pastries",
"General Mills™ products, select brands, spend $35",,Soup & Broth,
"General Mills™ products, select brands, spend $35",,Dressings,
"General Mills™ products, select brands, spend $35",,Fruit & Vegetable Snacks,
"General Mills™ products, select brands, spend $35",,Crackers,
"General Mills™ products, select brands, spend $35",,Frozen Meals,
"General Mills™ products, select brands, spend $35",,Cheese,
"General Mills™ products, select brands, spend $35",,Cooking & Baking,
"PepsiCo® Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront*",AMAZON,Carbonated Soft Drinks,
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,Frozen Desserts,
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,"Cereal, Granola, & Toaster Pastries",
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,Cheese,
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,Bread,
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,Bakery,
"Sara Lee® or Alfaros® Artesano bread, buy 5",,Bakery,
"Sara Lee® or Alfaros® Artesano bread, buy 5",,Bread,
"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,Tea,
"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,Drink Mixes,
"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,Water,
"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,Fruit Juices,
Spend $5 in-store at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Spend $5 in-store at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,Frozen Meals,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Meals,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,Frozen Desserts,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Desserts,
Spend $25 at Fresh Thyme Market,FRESH THYME MARKET,,
Any Albertsons receipt,ALBERTSONS,Candy,Gum
Shop 2 times at Albertsons,ALBERTSONS,Candy,Gum
Select beverages AND prepared food items at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Select beverages AND prepared food items at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
QUEEN V® The VIP & The Wingwoman Soft Touch Silicone Vibrator at Walmart,WALMART,,
"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",TARGET,Packaged Meals & Sides,
"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,Bath & Body,
"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,Hair Care,
"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,Makeup,
"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,Deodorant & Antiperspirant,
"Frutero Ice Cream, 1 pint",,Frozen Desserts,
"Frutero Ice Cream, 1 pint",,Frozen Fruits,
Red Gold Tomato Juice,,Sauces & Marinades,
Red Gold Tomato Juice,,Condiments,
Red Gold Tomato Juice,,Drink Mixes,
Red Gold Tomato Juice,,Cooking & Baking,
Red Gold Tomato Juice,,Dips & Salsa,
"Bio-Oil® Skincare Oil OR Gel, select varieties",,Cooking & Baking,
"Bio-Oil® Skincare Oil OR Gel, select varieties",,Skin Care,
Spend $65 at Albertsons,ALBERTSONS,Candy,Gum
"Welch's®Fruit Snacks, select varieties, buy 2",,Fruit & Vegetable Snacks,
Talenti Mini Bars,,Frozen Meals,
Talenti Mini Bars,,Frozen Desserts,
Visit OR order online from Casey's 7 times,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Visit OR order online from Casey's 7 times,CASEYS GENERAL STORE,Cooking & Baking,
"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",,Malt Beverages,
"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Molson Coors®, select varieties, 12 pack+",,Makeup,
"Molson Coors®, select varieties, 12 pack+",,Beer,
"Welch's® Zero Sugar Fruity Bites, 6 pack+, online at Amazon",AMAZON,Fruit & Vegetable Snacks,
"PepsiCo® Variety Pack, select varieties, at Amazon Storefront*",AMAZON,Carbonated Soft Drinks,
Spend $100 at Vons,VONS,Spirits,Vodka
Spend $100 at Vons,VONS,Spirits,Rum
Spend $15 at Subway,SUBWAY,Cooking & Baking,
Spend $35 at Fresh Thyme Market,FRESH THYME,,
Sign up for The Club Card or The Club+ Card full-priced membership* (New Members Only),BJS WHOLESALE,Cooking & Baking,
"Marinela® sweet baked goods, buy 2",,Candy,Gum
"Marinela® sweet baked goods, buy 2",,Snack Cakes,
"Marinela® sweet baked goods, buy 2",,Cookies,
"Back to the Roots Soils, select varieties and sizes, at Walmart",WALMART,Packaged Meals & Sides,
"Any General Mills™ products, spend $60",,,
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 3",,Fruit & Vegetable Snacks,
Spend $90 at Tom Thumb,TOM THUMB,,
Spend $5 on single-serve prepared food items at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Spend $5 on single-serve prepared food items at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",,Malt Beverages,
"Cooked Perfect® Meatballs, Homestyle OR Turkey, at Walmart",WALMART,Frozen Chicken,
12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Packaged Vegetables,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Refrigerated Doughs,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Frozen Pizza & Pizza Snacks,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Bread,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Frozen Breakfast,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Chips,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Cookies,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,"Cereal, Granola, & Toaster Pastries",
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Soup & Broth,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Dressings,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Fruit & Vegetable Snacks,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Crackers,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Frozen Meals,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Cheese,
"General Mills™ products, select brands, spend $7 at Convenience Stores",,Cooking & Baking,
Gillette Venus ® for Pubic Hair & Skin,,Hair Removal,
"Barilla® Pasta, select varieties, buy 2",,Pesto Sauce,
"Barilla® Pasta, select varieties, buy 2",,Chips,
"Barilla® Pasta, select varieties, buy 2",,Red Pasta Sauce,
"Barilla® Pasta, select varieties, buy 2",,Dry Pasta,
Little Bites® Spend $10 at Walmart®,WALMART,Bakery,
Little Bites® Spend $10 at Walmart®,WALMART,Cookies,
Little Bites® Spend $10 at Walmart®,WALMART,Wine,
Little Bites® Spend $10 at Walmart®,WALMART,Snack Cakes,
Envy Apples pre-packed bags,,Candy,Gum
Envy Apples pre-packed bags,,Sauces & Marinades,
Shop 2 times at Tom Thumb,TOM THUMB,,
"Ben & Jerry's Frozen Creme Brulee Non Dairy Dessert, 16 ounce",,Frozen Desserts,
"Purex® laundry detergent, select varieties, at Walmart",WALMART,Laundry Supplies,
Whole Pizza at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Whole Pizza at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
Shop 2 times at Safeway,SAFEWAY,Candy,Gum
"Any General Mills™ products, spend $30",,,
"Ben & Jerry's® Doggie Desserts, 4 count",,Frozen Desserts,
Sol® 6 pack+,,Beer,
"George's Farmers Market Chicken Wings, at Sam's Club",SAMS CLUB,,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Frozen Meals,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Pasta & Noodles,Dry Pasta
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Pasta & Noodles,Fresh Pasta
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Dry Pasta,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Red Pasta Sauce,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Sauces & Marinades,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Alfredo & White Pasta Sauce,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,Frozen Pizza & Pizza Snacks,
"Sargento Sliced Cheese, spend $25",,Cheese,
"Sargento Sliced Cheese, spend $12",,Cheese,
Country Crock® Plant Based Butter at Walmart,WALMART,Nut Butters & Jam,
"Perfect Keto Beauty + Sleep Collagen, online at Amazon",AMAZON,Nuts & Seeds,
"Perfect Keto Beauty + Sleep Collagen, online at Amazon",AMAZON,Medicines & Treatments,
"DOVE® chocolate, select varieties",,Candy,Gum
Simply Spiked™ 12 pack+,,Malt Beverages,
Simply Spiked™ 12 pack+,,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Perfect Keto Bars, online at Amazon",AMAZON,Nuts & Seeds,
"Perfect Keto Bars, online at Amazon",AMAZON,Medicines & Treatments,
"Gillette Venus ® for Pubic Hair & Skin, spend $20",,Hair Removal,
AleveX™ at Walmart,WALMART,Medicines & Treatments,
"Envy Apples, pre-packed bags",,Candy,Gum
"Envy Apples, pre-packed bags",,Sauces & Marinades,
"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce",,Frozen Desserts,
"L’Oréal Paris Men Expert hair color, spend $9 at Walmart",WALMART,Hair Care,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",MARTINS FOODS,Dips & Salsa,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,Dips & Salsa,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Desserts,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,Frozen Desserts,
"Magnum Non-Dairy Hazelnut Crunch Ice Cream Bars, 3 count",,Frozen Desserts,
"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,Frozen Turkey,
"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,Nut Butters & Jam,
"Thomas'® Bagel Thins®, buy 2",,Bakery,
"Thomas'® Bagel Thins®, buy 2",,Frozen Breakfast,
"Thomas'® Bagel Thins®, buy 2",,Bread,
Spend $60 at TGI Friday's,TGI FRIDAYS,Spirits,Vodka
Spend $60 at TGI Friday's,TGI FRIDAYS,Spirits,Rum
Spend $60 at TGI Friday's,TGI FRIDAYS,Malt Beverages,
"Artesano® buns, buy 2 at Walmart®",WALMART,Bread,
"Artesano® buns, buy 2 at Walmart®",WALMART,Bakery,
"STARBURST®, select sizes, buy 1",,Fruit & Vegetable Snacks,
"STARBURST®, select sizes, buy 1",,Gum,
"STARBURST®, select sizes, buy 1",,Candy,Gum
Fresh Step® Outstretch® Cat Litter,,Bakery,
Fresh Step® Outstretch® Cat Litter,,Hair Care,
Fresh Step® Outstretch® Cat Litter,,Makeup,
Fresh Step® Outstretch® Cat Litter,,Cooking & Baking,
Fresh Step® Outstretch® Cat Litter,,Bath & Body,
Fresh Step® Outstretch® Cat Litter,,Medicines & Treatments,
"Sara Lee® or Alfaros® Artesano bread, spend $8",,Bakery,
"Sara Lee® or Alfaros® Artesano bread, spend $8",,Bread,
"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",THE HOME DEPOT,Packaged Meals & Sides,
"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,Skin Care,
"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,Makeup,
"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,Hair Removal,
"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,Sexual Health,
"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,Medicines & Treatments,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",,Malt Beverages,
LIFE SAVERS®,,Candy,Gum
"Butterball, select varieties, spend $10 at Kroger",KROGER,Frozen Turkey,
"Butterball, select varieties, spend $10 at Kroger",KROGER,Nut Butters & Jam,
"RESPAWN® by 5® GUM, at Walmart",WALMART,Gum,
"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,Packaged Meals & Sides,
"SiO® Beauty Patches, online at Siobeauty.com",SIOBEAUTY.COM,,
Wesson® Oil Products,,Cooking & Baking,
"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,Prepared Meals,
Michael Angelo's® Sauce at Walmart,WALMART,Sauces & Marinades,
Michael Angelo's® Sauce at Walmart,WALMART,Frozen Meals,
Spend $155 at Pavilions,PAVILIONS,Cooking & Baking,
CESAR® Wet Dog Food Singles,,Dog Supplies,
CESAR® Wet Dog Food Singles,,Frozen Chicken,
CESAR® Wet Dog Food Singles,,Sauces & Marinades,
CESAR® Wet Dog Food Singles,,Cooking & Baking,
Spend $90 at ACME,ACME,Medicines & Treatments,
"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,Cooking & Baking,
"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,Dips & Salsa,
"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,Sauces & Marinades,
"Sargento® products, select varieties",,Cheese,
"Welch's® Fruit Snacks, 250 count, online at Amazon",AMAZON,Fruit & Vegetable Snacks,
"Ben & Jerry's®, select varieties",,Frozen Desserts,
Simply Spiked™ Signature Peach 12 pack+,,Malt Beverages,
Simply Spiked™ Signature Peach 12 pack+,,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Beech-Nut snacks, select varieties",,Nuts & Seeds,
"Beech-Nut snacks, select varieties",,Crackers,
"Beech-Nut snacks, select varieties",,Fruit & Vegetable Snacks,
"Beech-Nut snacks, select varieties",,Cookies,
"Sargento® products, select varieties, buy 3",,Cheese,
Spend $250 at ACME,ACME,Medicines & Treatments,
Wings OR Cheesy Breadsticks at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Wings OR Cheesy Breadsticks at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Butterball, select varieties, spend $10 at Smith's",SMITHS,Frozen Turkey,
"Butterball, select varieties, spend $10 at Smith's",SMITHS,Nut Butters & Jam,
"Perfect Keto Collagen Peptides, online at Amazon",AMAZON,Nuts & Seeds,
"Perfect Keto Collagen Peptides, online at Amazon",AMAZON,Medicines & Treatments,
"Perfect Keto MCT Oil Powder, online at Amazon",AMAZON,Nuts & Seeds,
"Perfect Keto MCT Oil Powder, online at Amazon",AMAZON,Medicines & Treatments,
Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,Sauces & Marinades,
Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,Dressings,
Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,Condiments,
Brita® Pitcher AND Filter,,Water,
Brita® Pitcher AND Filter,,Household Supplies,Laundry Supplies
Brita® Pitcher AND Filter,,Household Supplies,Household Cleaning Supplies
Brita® Pitcher AND Filter,,Household Supplies,Food Storage
Brita® Pitcher AND Filter,,Household Supplies,Household Supplies
Brita® Pitcher AND Filter,,Household Supplies,Pest Control
Spend $90 at Star Market,STAR MARKET,Cooking & Baking,
"SNICKERS®, select sizes, buy 1",,Candy,Gum
"Kodiak® products, select varieties, spend $10",,"Cereal, Granola, & Toaster Pastries",
Bays® English Muffins,,Bread,
"Super Coffee, 12 ounce single serve, buy 3",,Coffee,
"Sara Lee® bread select varieties, buy 2",WALMART,Frozen Desserts,
"Sara Lee® bread select varieties, buy 2",WALMART,"Cereal, Granola, & Toaster Pastries",
"Sara Lee® bread select varieties, buy 2",WALMART,Cheese,
"Sara Lee® bread select varieties, buy 2",WALMART,Bread,
"Sara Lee® bread select varieties, buy 2",WALMART,Bakery,
GOYA® Coconut Water,,Packaged Meat,
GOYA® Coconut Water,,Dry Pasta,
GOYA® Coconut Water,,Bread,
GOYA® Coconut Water,,Dips & Salsa,
GOYA® Coconut Water,,Cooking & Baking,
GOYA® Coconut Water,,Pasta & Noodles,Dry Pasta
GOYA® Coconut Water,,Pasta & Noodles,Fresh Pasta
GOYA® Coconut Water,,Deli Counter,
GOYA® Coconut Water,,Soup & Broth,
GOYA® Coconut Water,,Packaged Vegetables,
GOYA® Coconut Water,,Rice & Grains,
GOYA® Coconut Water,,Crackers,
GOYA® Coconut Water,,Nut Butters & Jam,
GOYA® Coconut Water,,Fruit Juices,
GOYA® Coconut Water,,Frozen Vegetables,
GOYA® Coconut Water,,Packaged Seafood,
GOYA® Coconut Water,,Cookies,
GOYA® Coconut Water,,Frozen Seafood,
GOYA® Coconut Water,,Frozen Fruits,
GOYA® Coconut Water,,Frozen Meals,
GOYA® Coconut Water,,Water,
GOYA® Coconut Water,,Drink Mixes,
GOYA® Coconut Water,,Milk,
GOYA® Coconut Water,,Pudding & Gelatin,
GOYA® Coconut Water,,Frozen Chicken,
GOYA® Coconut Water,,Frozen Appetizers,
GOYA® Coconut Water,,Sauces & Marinades,
GOYA® Coconut Water,,Malt Beverages,
GOYA® Coconut Water,,Pickled Goods,
GOYA® Coconut Water,,Carbonated Soft Drinks,
Spend $35 at TGI Friday's,TGI FRIDAYS,Spirits,Vodka
Spend $35 at TGI Friday's,TGI FRIDAYS,Spirits,Rum
Spend $35 at TGI Friday's,TGI FRIDAYS,Malt Beverages,
Spend $110 at Randalls,RANDALLS FOOD MARKETS,,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,Frozen Meals,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Meals,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,Frozen Desserts,
